transaction_id,customer_id,product,date,month,day_of_week,customer_segment,quantity,price
TXN_00001,CUST_0380,Speaker,2023-11-24,11,Friday,tech_professional,2,11.2
TXN_00001,CUST_0380,Monitor,2023-11-24,11,Friday,tech_professional,1,47.63
TXN_00001,CUST_0380,Mouse,2023-11-24,11,Friday,tech_professional,3,122.39
TXN_00001,CUST_0380,Kombucha,2023-11-24,11,Friday,tech_professional,3,43.77
TXN_00002,CUST_0215,Whiteboard,2023-11-29,11,Wednesday,office_worker,1,191.66
TXN_00002,CUST_0215,Dark Chocolate,2023-11-29,11,Wednesday,office_worker,2,24.93
TXN_00002,CUST_0215,Coffee,2023-11-29,11,Wednesday,office_worker,2,23.86
TXN_00002,CUST_0215,Coconut Water,2023-11-29,11,Wednesday,office_worker,2,122.73
TXN_00003,CUST_0275,Trail Mix,2023-01-23,1,Monday,office_worker,3,125.61
TXN_00003,CUST_0275,Green Tea,2023-01-23,1,Monday,office_worker,2,117.58
TXN_00004,CUST_0339,Mouse,2023-12-27,12,Wednesday,tech_professional,2,128.96
TXN_00004,CUST_0339,Pen Set,2023-12-27,12,Wednesday,tech_professional,2,36.72
TXN_00004,CUST_0339,Sticky Notes,2023-12-27,12,Wednesday,tech_professional,2,45.85
TXN_00005,CUST_0350,Dark Chocolate,2023-05-17,5,Wednesday,office_worker,1,49.66
TXN_00005,CUST_0350,Popcorn,2023-05-17,5,Wednesday,office_worker,1,161.98
TXN_00005,CUST_0350,Printer Paper,2023-05-17,5,Wednesday,office_worker,2,57.21
TXN_00005,CUST_0350,Water Bottle,2023-05-17,5,Wednesday,office_worker,1,183.06
TXN_00005,CUST_0350,File Folder,2023-05-17,5,Wednesday,office_worker,3,175.89
TXN_00005,CUST_0350,Tape,2023-05-17,5,Wednesday,office_worker,2,46.46
TXN_00005,CUST_0350,Crackers,2023-05-17,5,Wednesday,office_worker,2,82.15
TXN_00006,CUST_0136,Ankle Weights,2023-11-26,11,Sunday,health_enthusiast,2,75.59
TXN_00006,CUST_0136,Yogurt,2023-11-26,11,Sunday,health_enthusiast,1,104.36
TXN_00006,CUST_0136,Coconut Water,2023-11-26,11,Sunday,health_enthusiast,1,152.38
TXN_00007,CUST_0082,Coffee,2023-02-26,2,Sunday,tech_professional,3,71.33
TXN_00007,CUST_0082,Water Bottle,2023-02-26,2,Sunday,tech_professional,2,89.78
TXN_00007,CUST_0082,Cold Brew,2023-02-26,2,Sunday,tech_professional,2,5.63
TXN_00007,CUST_0082,Kombucha,2023-02-26,2,Sunday,tech_professional,3,175.79
TXN_00007,CUST_0082,Whiteboard,2023-02-26,2,Sunday,tech_professional,2,194.52
TXN_00007,CUST_0082,Herbal Tea,2023-02-26,2,Sunday,tech_professional,1,104.0
TXN_00007,CUST_0082,Green Tea,2023-02-26,2,Sunday,tech_professional,1,174.75
TXN_00008,CUST_0260,Dried Fruit,2023-06-02,6,Friday,student,1,16.3
TXN_00008,CUST_0260,Dark Chocolate,2023-06-02,6,Friday,student,3,189.66
TXN_00008,CUST_0260,Trail Mix,2023-06-02,6,Friday,student,1,147.72
TXN_00008,CUST_0260,Mouse,2023-06-02,6,Friday,student,1,195.71
TXN_00008,CUST_0260,Desk Organizer,2023-06-02,6,Friday,student,3,154.34
TXN_00008,CUST_0260,Speaker,2023-06-02,6,Friday,student,1,133.65
TXN_00009,CUST_0271,Monitor,2023-10-09,10,Monday,tech_professional,1,70.93
TXN_00009,CUST_0271,Charger,2023-10-09,10,Monday,tech_professional,3,113.01
TXN_00009,CUST_0271,Pen Set,2023-10-09,10,Monday,tech_professional,3,47.94
TXN_00009,CUST_0271,Water Bottle,2023-10-09,10,Monday,tech_professional,1,143.03
TXN_00009,CUST_0271,File Folder,2023-10-09,10,Monday,tech_professional,1,49.64
TXN_00009,CUST_0271,Scissors,2023-10-09,10,Monday,tech_professional,1,172.63
TXN_00009,CUST_0271,Herbal Tea,2023-10-09,10,Monday,tech_professional,1,105.26
TXN_00009,CUST_0271,Energy Drink,2023-10-09,10,Monday,tech_professional,2,135.45
TXN_00010,CUST_0371,Dried Fruit,2023-04-20,4,Thursday,health_enthusiast,1,136.31
TXN_00010,CUST_0371,Vitamin D,2023-04-20,4,Thursday,health_enthusiast,3,24.19
TXN_00010,CUST_0371,Yoga Mat,2023-04-20,4,Thursday,health_enthusiast,2,147.0
TXN_00010,CUST_0371,Popcorn,2023-04-20,4,Thursday,health_enthusiast,1,53.49
TXN_00010,CUST_0371,Protein Bar,2023-04-20,4,Thursday,health_enthusiast,1,109.58
TXN_00010,CUST_0371,Herbal Tea,2023-04-20,4,Thursday,health_enthusiast,1,87.27
TXN_00011,CUST_0448,Crackers,2023-05-23,5,Tuesday,health_enthusiast,3,168.03
TXN_00011,CUST_0448,Vitamins,2023-05-23,5,Tuesday,health_enthusiast,1,185.64
TXN_00012,CUST_0249,USB Hub,2023-05-02,5,Tuesday,tech_professional,2,140.84
TXN_00012,CUST_0249,Keyboard,2023-05-02,5,Tuesday,tech_professional,3,199.11
TXN_00012,CUST_0249,Notebook,2023-05-02,5,Tuesday,tech_professional,3,134.06
TXN_00012,CUST_0249,Sticky Notes,2023-05-02,5,Tuesday,tech_professional,2,35.19
TXN_00013,CUST_0030,Mouse,2023-06-01,6,Thursday,tech_professional,3,173.05
TXN_00013,CUST_0030,Cold Brew,2023-06-01,6,Thursday,tech_professional,2,28.38
TXN_00013,CUST_0030,Kombucha,2023-06-01,6,Thursday,tech_professional,3,53.01
TXN_00013,CUST_0030,Keyboard,2023-06-01,6,Thursday,tech_professional,3,12.75
TXN_00013,CUST_0030,Headphones,2023-06-01,6,Thursday,tech_professional,1,86.75
TXN_00013,CUST_0030,Laptop,2023-06-01,6,Thursday,tech_professional,3,115.22
TXN_00014,CUST_0105,Monitor,2023-06-11,6,Sunday,student,2,30.83
TXN_00014,CUST_0105,Sticky Notes,2023-06-11,6,Sunday,student,2,176.77
TXN_00014,CUST_0105,Coconut Water,2023-06-11,6,Sunday,student,1,77.06
TXN_00014,CUST_0105,Popcorn,2023-06-11,6,Sunday,student,1,90.45
TXN_00014,CUST_0105,Protein Bar,2023-06-11,6,Sunday,student,3,142.19
TXN_00014,CUST_0105,Mouse,2023-06-11,6,Sunday,student,3,196.85
TXN_00014,CUST_0105,Juice Pack,2023-06-11,6,Sunday,student,3,108.14
TXN_00014,CUST_0105,Laptop,2023-06-11,6,Sunday,student,3,164.34
TXN_00015,CUST_0054,Mixed Nuts,2023-06-03,6,Saturday,student,2,122.94
TXN_00015,CUST_0054,Sticky Notes,2023-06-03,6,Saturday,student,3,71.86
TXN_00015,CUST_0054,Charger,2023-06-03,6,Saturday,student,3,128.68
TXN_00016,CUST_0129,Omega-3,2023-05-16,5,Tuesday,health_enthusiast,3,112.74
TXN_00016,CUST_0129,Trail Mix,2023-05-16,5,Tuesday,health_enthusiast,2,29.85
TXN_00016,CUST_0129,Vitamins,2023-05-16,5,Tuesday,health_enthusiast,2,76.11
TXN_00016,CUST_0129,Protein Shake,2023-05-16,5,Tuesday,health_enthusiast,1,180.29
TXN_00016,CUST_0129,Protein Powder,2023-05-16,5,Tuesday,health_enthusiast,1,138.0
TXN_00016,CUST_0129,Gym Gloves,2023-05-16,5,Tuesday,health_enthusiast,3,25.04
TXN_00016,CUST_0129,Crackers,2023-05-16,5,Tuesday,health_enthusiast,3,177.41
TXN_00017,CUST_0384,Whiteboard,2023-07-28,7,Friday,student,3,185.28
TXN_00017,CUST_0384,Desk Organizer,2023-07-28,7,Friday,student,2,161.44
TXN_00017,CUST_0384,Keyboard,2023-07-28,7,Friday,student,3,163.1
TXN_00018,CUST_0360,Stapler,2023-05-17,5,Wednesday,tech_professional,1,164.23
TXN_00018,CUST_0360,Notebook,2023-05-17,5,Wednesday,tech_professional,2,73.18
TXN_00019,CUST_0338,Pen Set,2023-04-27,4,Thursday,tech_professional,3,104.33
TXN_00019,CUST_0338,File Folder,2023-04-27,4,Thursday,tech_professional,3,196.32
TXN_00020,CUST_0015,Coffee,2023-10-02,10,Monday,health_enthusiast,2,123.21
TXN_00020,CUST_0015,Protein Shake,2023-10-02,10,Monday,health_enthusiast,3,27.55
TXN_00020,CUST_0015,Gym Gloves,2023-10-02,10,Monday,health_enthusiast,3,42.07
TXN_00020,CUST_0015,Granola Bar,2023-10-02,10,Monday,health_enthusiast,1,143.21
TXN_00021,CUST_0413,Coconut Water,2023-01-01,1,Sunday,health_enthusiast,2,83.47
TXN_00021,CUST_0413,Mixed Nuts,2023-01-01,1,Sunday,health_enthusiast,2,113.11
TXN_00021,CUST_0413,Water Bottle,2023-01-01,1,Sunday,health_enthusiast,1,86.99
TXN_00021,CUST_0413,Kombucha,2023-01-01,1,Sunday,health_enthusiast,2,137.08
TXN_00021,CUST_0413,Herbal Tea,2023-01-01,1,Sunday,health_enthusiast,1,125.03
TXN_00021,CUST_0413,Green Tea,2023-01-01,1,Sunday,health_enthusiast,2,84.18
TXN_00022,CUST_0108,Dried Fruit,2023-01-01,1,Sunday,health_enthusiast,3,134.45
TXN_00022,CUST_0108,Dark Chocolate,2023-01-01,1,Sunday,health_enthusiast,3,70.36
TXN_00022,CUST_0108,Melatonin,2023-01-01,1,Sunday,health_enthusiast,1,136.2
TXN_00022,CUST_0108,Cold Brew,2023-01-01,1,Sunday,health_enthusiast,1,162.28
TXN_00022,CUST_0108,Ankle Weights,2023-01-01,1,Sunday,health_enthusiast,1,9.76
TXN_00023,CUST_0313,Scissors,2023-05-06,5,Saturday,student,2,14.79
TXN_00023,CUST_0313,Coconut Water,2023-05-06,5,Saturday,student,1,183.91
TXN_00023,CUST_0313,Desk Organizer,2023-05-06,5,Saturday,student,1,94.01
TXN_00023,CUST_0313,Mouse,2023-05-06,5,Saturday,student,2,135.18
TXN_00023,CUST_0313,Whiteboard,2023-05-06,5,Saturday,student,3,121.11
TXN_00023,CUST_0313,Herbal Tea,2023-05-06,5,Saturday,student,2,124.47
TXN_00023,CUST_0313,Energy Drink,2023-05-06,5,Saturday,student,3,178.94
TXN_00023,CUST_0313,Laptop Stand,2023-05-06,5,Saturday,student,2,166.96
TXN_00024,CUST_0082,Dried Fruit,2023-10-08,10,Sunday,health_enthusiast,2,67.34
TXN_00024,CUST_0082,Dumbbells,2023-10-08,10,Sunday,health_enthusiast,3,20.71
TXN_00024,CUST_0082,Melatonin,2023-10-08,10,Sunday,health_enthusiast,1,50.1
TXN_00024,CUST_0082,Popcorn,2023-10-08,10,Sunday,health_enthusiast,3,34.8
TXN_00024,CUST_0082,Cold Brew,2023-10-08,10,Sunday,health_enthusiast,1,17.52
TXN_00024,CUST_0082,Kombucha,2023-10-08,10,Sunday,health_enthusiast,2,69.52
TXN_00024,CUST_0082,Energy Drink,2023-10-08,10,Sunday,health_enthusiast,2,86.08
TXN_00025,CUST_0200,Protein Bar,2023-04-16,4,Sunday,student,3,137.43
TXN_00025,CUST_0200,Printer Paper,2023-04-16,4,Sunday,student,2,146.22
TXN_00025,CUST_0200,Cold Brew,2023-04-16,4,Sunday,student,2,184.31
TXN_00025,CUST_0200,Kombucha,2023-04-16,4,Sunday,student,3,109.15
TXN_00025,CUST_0200,Speaker,2023-04-16,4,Sunday,student,2,120.42
TXN_00025,CUST_0200,Headphones,2023-04-16,4,Sunday,student,3,10.28
TXN_00025,CUST_0200,Sticky Notes,2023-04-16,4,Sunday,student,3,88.58
TXN_00026,CUST_0134,Stapler,2023-08-25,8,Friday,tech_professional,2,8.78
TXN_00026,CUST_0134,Pen Set,2023-08-25,8,Friday,tech_professional,3,15.16
TXN_00026,CUST_0134,File Folder,2023-08-25,8,Friday,tech_professional,2,48.72
TXN_00026,CUST_0134,Whiteboard,2023-08-25,8,Friday,tech_professional,1,157.34
TXN_00027,CUST_0016,Protein Shake,2023-11-30,11,Thursday,tech_professional,2,141.4
TXN_00027,CUST_0016,Protein Bar,2023-11-30,11,Thursday,tech_professional,2,37.72
TXN_00027,CUST_0016,Mouse,2023-11-30,11,Thursday,tech_professional,3,192.93
TXN_00027,CUST_0016,Keyboard,2023-11-30,11,Thursday,tech_professional,3,27.33
TXN_00027,CUST_0016,Laptop,2023-11-30,11,Thursday,tech_professional,1,193.12
TXN_00028,CUST_0476,Tape,2023-02-25,2,Saturday,office_worker,1,140.95
TXN_00028,CUST_0476,Energy Drink,2023-02-25,2,Saturday,office_worker,2,170.81
TXN_00028,CUST_0476,Protein Bar,2023-02-25,2,Saturday,office_worker,3,162.08
TXN_00028,CUST_0476,Popcorn,2023-02-25,2,Saturday,office_worker,3,157.61
TXN_00029,CUST_0339,Coffee,2023-06-27,6,Tuesday,health_enthusiast,3,178.86
TXN_00029,CUST_0339,Vitamin D,2023-06-27,6,Tuesday,health_enthusiast,2,142.93
TXN_00029,CUST_0339,Dried Fruit,2023-06-27,6,Tuesday,health_enthusiast,2,39.35
TXN_00029,CUST_0339,Collagen,2023-06-27,6,Tuesday,health_enthusiast,3,193.27
TXN_00030,CUST_0471,Coconut Water,2023-05-19,5,Friday,office_worker,3,124.01
TXN_00030,CUST_0471,Pen Set,2023-05-19,5,Friday,office_worker,2,70.6
TXN_00030,CUST_0471,Printer Paper,2023-05-19,5,Friday,office_worker,2,170.94
TXN_00030,CUST_0471,Cold Brew,2023-05-19,5,Friday,office_worker,1,100.07
TXN_00030,CUST_0471,Juice Pack,2023-05-19,5,Friday,office_worker,2,160.58
TXN_00031,CUST_0306,Workout Towel,2023-06-24,6,Saturday,health_enthusiast,1,62.38
TXN_00031,CUST_0306,Dried Fruit,2023-06-24,6,Saturday,health_enthusiast,2,139.9
TXN_00031,CUST_0306,Yoga Mat,2023-06-24,6,Saturday,health_enthusiast,2,134.47
TXN_00031,CUST_0306,Gym Gloves,2023-06-24,6,Saturday,health_enthusiast,2,97.29
